2023-10-01 20:05:54.714 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:54.820 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:54.985 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:55.082 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:55.138 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:55.183 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:55.197 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:55.325 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:55.333 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:55.357 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:55.542 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:55.587 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:55.672 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:55.729 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:55.893 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:55.949 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:56.075 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:56.088 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:56.311 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:56.337 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:56.485 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:56.611 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:56.670 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:56.695 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:56.869 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:57.042 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:57.152 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:57.181 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:57.275 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:57.288 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:57.388 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:57.399 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:57.507 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:57.634 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:57.671 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:57.721 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:57.775 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:57.779 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:57.926 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:58.373 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:58.399 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:58.456 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:58.577 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:58.592 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:58.603 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:58.670 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:58.699 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:58.744 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:58.813 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:58.822 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:58.836 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:58.979 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:59.086 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:59.218 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:59.221 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:59.697 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:05:59.741 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:05:59.951 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:00.046 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:00.129 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:00.188 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:00.273 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:00.651 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:00.703 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:00.733 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:00.766 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:00.790 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:00.828 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:00.874 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.028 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:01.045 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.198 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:01.235 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:01.262 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.316 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.338 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:01.390 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.431 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.542 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.552 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.639 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.722 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.733 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:01.749 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.791 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.833 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.857 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:01.879 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.917 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:01.967 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.054 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.055 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.148 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.200 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:02.245 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.317 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.422 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.478 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.535 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.564 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.586 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.589 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:02.593 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.696 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.737 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.799 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.857 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.858 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.905 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.922 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:02.988 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:03.046 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:03.074 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:03.224 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:03.369 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:03.558 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:03.579 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:03.589 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:03.624 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:03.771 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:04.141 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:04.347 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:04.408 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:04.436 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:04.538 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:04.632 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:04.835 | ERROR    | spotiplex:check_tracks_in_plex:95 - Song {track_name} for artist {artist_name} was not found in Plex
2023-10-01 20:06:04.869 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
2023-10-01 20:06:04.999 | ERROR    | spotiplex:check_tracks_in_plex:98 - Artist not found in Plex: {artist_name}
